Actual_Rating,Predicted_Rating_LR,Predicted_Rating_RF
5.841649823143001,5.7814521083012655,5.39810897898445
6.6,5.8426764676967196,5.907598226773306
5.841649823143001,6.034002590807514,5.815230389138784
5.841649823143001,5.957472141563197,6.033718976692635
3.5,5.758492973527971,5.322079617148744
5.841649823143001,6.045482158194162,5.8242694921905915
5.841649823143001,5.942166051714333,6.1138081354046
5.6,5.854156035083368,6.033985643283865
5.841649823143001,5.968951708949844,6.166489429071365
4.5,5.769972540914618,5.519468095407205
5.841649823143001,5.769972540914618,5.519468095407205
5.6,5.9039008270921745,6.145689031582254
6.5,5.915380394478822,6.161947634366717
5.841649823143001,5.991910843723139,5.968376304839994
5.841649823143001,5.739360361216891,5.779204446555311
5.841649823143001,5.991910843723139,5.968376304839994
5.841649823143001,5.999563888647571,5.804438112305902
8.2,5.731707316292459,5.855265927764469
5.841649823143001,5.819717332923425,5.6380109670386025
5.841649823143001,6.003390411109787,5.858607386128118
5.841649823143001,5.704921659056948,5.841649823143017
6.8,5.727880793830243,5.870929878626954
5.841649823143001,5.71257470398138,6.127496433821103
5.841649823143001,5.7202277489058115,6.1170817879690755
5.841649823143001,5.708748181519164,6.017540439283205
5.841649823143001,5.831196900310072,5.505525547321473
6.8,5.8426764676967196,5.907598226773306
6.2,5.754666451065755,5.595292225843621
5.841649823143001,5.727880793830243,5.870929878626954
5.841649823143001,6.014869978496435,5.919607350421372
5.841649823143001,5.988084321260923,6.082217446950926
5.2,5.769972540914618,5.519468095407205
5.841649823143001,5.995737366185355,5.962973692568616
5.7,5.7431868836791065,5.655453471039973
5.841649823143001,5.708748181519164,6.017540439283205
5.1,5.735533838754675,5.712650841694039
6.2,5.915380394478822,6.161947634366717
5.841649823143001,6.034002590807514,5.815230389138784
4.6,5.804411243074561,5.568541452184839
3.7,5.716401226443596,6.078395231741768
5.841649823143001,5.88859473724331,6.288948502584015
8.0,5.7202277489058115,6.1170817879690755
7.8,5.815890810461209,5.439288293313856
5.841649823143001,5.90772734955439,6.178710839355147
5.841649823143001,5.800584720612345,5.555561233174723
5.841649823143001,5.766146018452402,5.400406339418067
6.1,5.7814521083012655,5.39810897898445
